word,translation,type,userid
devotion,преданность,noun,612269874
dauntless,бесстрашный,adjective,612269874
Hitherto,До сих пор,adjective,612269874
lucidity,ясность,noun,612269874
contemptuous,презрительный,adjective,612269874
spotless,безупречный,adjective,612269874
guile,хитрость,noun,612269874
contingencies,непредвиденные обстоятельства,noun,612269874
settlement,поселок,noun,612269874
inspiration,вдохновение,noun,612269874
lantern,фонарь,noun,612269874
devotion,Преданность,Noun,490231894
guile,Хитрость,noun,490231894
scuffle,драка,noun,612269874
